ID,Time,Emotion,Probabilities
0,2023-06-12 01:43:12.680162,angry,"[0.32085574 0.01046883 0.253337   0.05371369 0.08700323 0.0314142
 0.24320726]"
0,2023-06-12 01:43:12.916167,scared,"[0.2521649  0.00442797 0.35326186 0.04542356 0.11091565 0.02383411
 0.20997193]"
0,2023-06-12 01:43:13.233167,scared,"[0.2927931  0.00547933 0.297406   0.0565142  0.10714202 0.02351123
 0.21715419]"
0,2023-06-12 01:43:13.523167,angry,"[0.3497038  0.00449235 0.25896084 0.05532421 0.08978698 0.01558395
 0.22614782]"
0,2023-06-12 01:43:13.811163,angry,"[0.30145237 0.00615317 0.21952727 0.06913255 0.11891423 0.0179335
 0.2668869 ]"
0,2023-06-12 01:43:14.111166,neutral,"[0.1939825  0.06658592 0.1653819  0.07256108 0.1335563  0.02050891
 0.3474234 ]"
1,2023-06-12 01:43:14.375163,neutral,"[0.2381128  0.04587812 0.22177052 0.02381839 0.1303348  0.02996094
 0.31012443]"
0,2023-06-12 01:43:14.618233,scared,"[0.08085538 0.00797199 0.33109578 0.18329012 0.11485671 0.03507232
 0.24685779]"
0,2023-06-12 01:43:14.849801,neutral,"[0.07431709 0.00940904 0.24910066 0.20652798 0.14729947 0.02162153
 0.29172423]"
0,2023-06-12 01:43:15.080888,neutral,"[0.03262149 0.00221485 0.13028862 0.2444669  0.12041635 0.01026449
 0.45972735]"
0,2023-06-12 01:43:15.347698,angry,"[0.25168484 0.00830442 0.19927514 0.12524758 0.20009172 0.01662015
 0.19877619]"
0,2023-06-12 01:43:15.597200,neutral,"[0.04430306 0.00384704 0.11423392 0.13405763 0.101413   0.00722944
 0.59491587]"
0,2023-06-12 01:43:15.841201,neutral,"[0.12461218 0.00267004 0.09717416 0.27331355 0.1022524  0.01283471
 0.38714296]"
0,2023-06-12 01:43:16.084686,happy,"[0.18972898 0.00572155 0.2089646  0.21162827 0.1625646  0.01474983
 0.20664214]"
0,2023-06-12 01:43:16.317072,happy,"[0.05889939 0.00424572 0.12332894 0.48901728 0.11349744 0.02408458
 0.1869267 ]"
0,2023-06-12 01:43:16.557091,neutral,"[0.20796816 0.00393725 0.20852035 0.16887511 0.13372965 0.01972074
 0.25724873]"
0,2023-06-12 01:43:16.800365,neutral,"[0.15983263 0.00307868 0.13454    0.13834533 0.09135219 0.01900833
 0.4538428 ]"
0,2023-06-12 01:43:17.038416,happy,"[0.01560159 0.00094903 0.04604945 0.5186956  0.05587229 0.00299723
 0.35983473]"
0,2023-06-12 01:43:17.274531,happy,"[0.00974005 0.00353349 0.02683965 0.9184611  0.01005623 0.00092662
 0.03044281]"
0,2023-06-12 01:43:17.543531,happy,"[0.02023792 0.00469906 0.0561726  0.82714    0.02325553 0.00198101
 0.06651386]"
0,2023-06-12 01:43:17.799534,happy,"[1.2647146e-03 4.3116816e-04 4.9356413e-03 9.7924334e-01 3.6583205e-03
 3.1846829e-04 1.0148292e-02]"
